timestamp,random_sequence_id,sequence_weight,load_kw,reachable_load_kw,available_re_kw,renewable_used_kw,firm_grid_dispatch_kw,emergency_gen_kw,storage_charge_kw,storage_discharge_kw,power_deficit_kw,curtailment_kw,soc,load_served_kw,critical_load_kw,critical_load_served_kw,important_load_kw,important_load_served_kw,is_extreme_condition,load_reachability_factor
2026-07-15 00:00:00,lankao_mc_001,0.005,2492.34266897585,2492.34266897585,407.27965973532724,407.27965973532724,2085.0630092405227,0.0,0.0,0.0,0.0,0.0,0.55,2492.34266897585,498.46853379517,498.46853379517,872.3199341415474,872.3199341415474,1,1.0
2026-07-15 01:00:00,lankao_mc_001,0.005,2399.443801196622,2399.443801196622,394.4060531669723,394.4060531669723,2005.03774802965,0.0,0.0,0.0,0.0,0.0,0.55,2399.443801196622,479.8887602393245,479.8887602393245,839.8053304188177,839.8053304188177,1,1.0
2026-07-15 02:00:00,lankao_mc_001,0.005,2364.156659701841,2364.156659701841,392.64585495341504,392.64585495341504,1971.510804748426,0.0,0.0,0.0,0.0,0.0,0.55,2364.156659701841,472.8313319403682,472.8313319403682,827.4548308956442,827.4548308956442,1,1.0
2026-07-15 03:00:00,lankao_mc_001,0.005,2408.980642309439,2408.980642309439,454.8794386085405,454.8794386085405,1954.1012037008986,0.0,0.0,0.0,0.0,0.0,0.55,2408.980642309439,481.79612846188786,481.79612846188786,843.1432248083037,843.1432248083037,1,1.0
2026-07-15 04:00:00,lankao_mc_001,0.005,2488.7543274362156,2488.7543274362156,478.80966818702245,478.80966818702245,2009.9446592491931,0.0,0.0,0.0,0.0,0.0,0.55,2488.7543274362156,497.7508654872431,497.7508654872431,871.0640146026755,871.0640146026755,1,1.0
2026-07-15 05:00:00,lankao_mc_001,0.005,2611.0106382585063,2611.0106382585063,479.49175974337356,479.49175974337356,2131.5188785151327,0.0,0.0,0.0,0.0,0.0,0.55,2611.0106382585063,522.2021276517013,522.2021276517013,913.8537233904772,913.8537233904772,1,1.0
2026-07-15 06:00:00,lankao_mc_001,0.005,2805.5693320684354,2805.5693320684354,306.7627525017459,306.7627525017459,2278.4909702780383,220.3156092886511,0.0,0.0,0.0,0.0,0.55,2805.5693320684354,561.1138664136871,561.1138664136871,981.9492662239523,981.9492662239523,1,1.0
2026-07-15 07:00:00,lankao_mc_001,0.005,3002.580663959609,3002.580663959609,658.7794055682422,658.7794055682422,2094.065832088082,249.73542630328484,0.0,0.0,0.0,0.0,0.55,3002.580663959609,600.5161327919218,600.5161327919218,1050.903232385863,1050.903232385863,1,1.0
2026-07-15 08:00:00,lankao_mc_001,0.005,3154.0544879377926,3154.0544879377926,881.1059272325884,881.1059272325884,1904.7811973144608,368.1673633907435,0.0,0.0,0.0,0.0,0.55,3154.0544879377926,630.8108975875585,630.8108975875585,1103.9190707782273,1103.9190707782273,1,1.0
2026-07-15 09:00:00,lankao_mc_001,0.005,3272.7397650764988,3272.7397650764988,811.7348095375881,811.7348095375881,1672.4974244090397,450.85524091056845,0.0,337.65229021930236,0.0,0.0,0.5083145320716911,3272.7397650764988,654.5479530152998,654.5479530152998,1145.4589177767746,1145.4589177767746,1,1.0
2026-07-15 10:00:00,lankao_mc_001,0.005,3365.8737293970303,3365.8737293970303,582.885187627945,582.885187627945,1466.021096466896,436.85524091056845,0.0,452.14143068292634,427.97077370869437,0.0,0.4524946023577495,2937.902955688336,673.1747458794061,673.1747458794061,1178.0558052889605,1178.0558052889605,1,1.0
2026-07-15 11:00:00,lankao_mc_001,0.005,3395.0064992823122,3395.0064992823122,272.4368106111243,272.4368106111243,1275.4750047883138,422.8552409105684,0.0,442.14143068292634,982.0980122893795,0.0,0.39790924054504256,2412.908486992933,679.0012998564625,679.0012998564625,1188.2522747488092,1188.2522747488092,1,1.0
2026-07-15 12:00:00,lankao_mc_001,0.005,3372.504278293626,3372.504278293626,311.7341975414016,311.7341975414016,1187.776065160514,412.8552409105684,0.0,432.14143068292634,1027.997343998216,0.0,0.34455844663357016,2344.5069342954102,674.5008556587253,674.5008556587253,1180.376497402769,1180.376497402769,1,1.0
2026-07-15 13:00:00,lankao_mc_001,0.005,3382.933987978031,3382.933987978031,394.5027116678087,394.5027116678087,1232.086064647264,415.58251363784115,0.0,430.32324886474447,910.4394491603723,0.0,0.29143211961323134,2472.4945388176584,676.5867975956062,676.5867975956062,1184.0268957923108,1184.0268957923108,1,1.0
2026-07-15 14:00:00,lankao_mc_001,0.005,3365.14059539978,3365.14059539978,410.8265222745978,410.8265222745978,1265.9628736566647,418.30978636511384,0.0,428.50506704656266,841.5363460568414,0.0,0.23853025948402606,2523.6042493429386,673.028119079956,673.028119079956,1177.799208389923,1177.799208389923,1,1.0
2026-07-15 15:00:00,lankao_mc_001,0.005,3310.7480751565654,3310.7480751565654,250.08121709904918,250.08121709904918,1228.2823003557173,421.0370590923866,0.0,426.6868852283809,984.6606133810311,0.0,0.18585286624595435,2326.0874617755344,662.1496150313131,662.1496150313131,1158.7618263047978,1158.7618263047978,1,1.0
2026-07-15 16:00:00,lankao_mc_001,0.005,3315.4358370519476,3315.4358370519476,143.8865986196848,143.8865986196848,1209.4145631384729,423.76433181965933,0.0,424.86870341019903,1113.5016400639315,0.0,0.1333999398990162,2201.934196988016,663.0871674103896,663.0871674103896,1160.4025429681815,1160.4025429681815,1,1.0
2026-07-15 17:00:00,lankao_mc_001,0.005,3363.2730088648327,3363.2730088648327,81.3636040020645,81.3636040020645,1213.7899271323945,426.4916045469321,0.0,270.53951318203116,1371.0883600014101,0.0,0.1,1992.1846488634226,672.6546017729665,672.6546017729665,1177.1455531026913,1177.1455531026913,1,1.0
2026-07-15 18:00:00,lankao_mc_001,0.005,3344.270249366775,3344.270249366775,32.031663222321534,32.031663222321534,1257.723154292277,429.2188772742048,0.0,0.0,1625.2965545779716,0.0,0.1,1718.9736947888032,668.854049873355,668.854049873355,1170.494587278371,1050.1196449154481,1,1.0
